Timestamp,TransactionID,AccountID,Amount,Merchant,TransactionType,Location
01-01-2023 08:00,TXN1127,ACC4,95071.92,MerchantH,Purchase,Tokyo
01-01-2023 08:01,TXN1639,ACC10,15607.89,MerchantH,Purchase,London
01-01-2023 08:02,TXN872,ACC8,65092.34,MerchantE,Withdrawal,London
01-01-2023 08:03,TXN1438,ACC6,87.87,MerchantE,Purchase,London
01-01-2023 08:04,TXN1338,ACC6,716.56,MerchantI,Purchase,Los Angeles
01-01-2023 08:05,TXN1083,ACC15,13957.99,MerchantC,Transfer,London
01-01-2023 08:06,TXN832,ACC9,4654.58,MerchantC,Transfer,Tokyo
01-01-2023 08:07,TXN841,ACC7,1336.36,MerchantI,Withdrawal,San Francisco
01-01-2023 08:08,TXN777,ACC10,9776.23,MerchantD,Transfer,London
01-01-2023 08:09,TXN1479,ACC12,49522.74,MerchantC,Withdrawal,New York
01-01-2023 08:10,TXN1956,ACC2,66255.6,MerchantB,Withdrawal,San Francisco
01-01-2023 08:11,TXN1796,ACC6,3141.02,MerchantB,Withdrawal,London
01-01-2023 08:12,TXN162,ACC10,89483.79,MerchantH,Withdrawal,London
01-01-2023 08:13,TXN1017,ACC14,32539.78,MerchantB,Transfer,Tokyo
01-01-2023 08:14,TXN792,ACC10,96525.88,MerchantI,Purchase,Tokyo
01-01-2023 08:15,TXN65,ACC9,98688.82,MerchantH,Purchase,London
01-01-2023 08:16,TXN648,ACC8,1417.84,MerchantC,Purchase,Los Angeles
01-01-2023 08:17,TXN419,ACC1,60599.94,MerchantJ,Transfer,San Francisco
01-01-2023 08:18,TXN41,ACC12,86311.71,MerchantH,Withdrawal,New York
01-01-2023 08:19,TXN1072,ACC7,31105.12,MerchantH,Purchase,Los Angeles
01-01-2023 08:20,TXN684,ACC8,27479.43,MerchantC,Purchase,Los Angeles
01-01-2023 08:21,TXN613,ACC15,71327.35,MerchantA,Purchase,San Francisco
01-01-2023 08:22,TXN503,ACC15,25614.27,MerchantI,Transfer,San Francisco
01-01-2023 08:23,TXN1578,ACC12,10798.06,MerchantG,Purchase,London
01-01-2023 08:24,TXN1021,ACC4,90757.57,MerchantG,Transfer,Tokyo
01-01-2023 08:25,TXN1679,ACC11,20314.09,MerchantG,Transfer,Los Angeles
01-01-2023 08:26,TXN1110,ACC12,92970.47,MerchantI,Purchase,London
01-01-2023 08:27,TXN1052,ACC12,18665.14,MerchantJ,Transfer,London
01-01-2023 08:28,TXN1497,ACC7,90683.78,MerchantA,Purchase,Los Angeles
01-01-2023 08:29,TXN1982,ACC9,81803.3,MerchantI,Transfer,Los Angeles
01-01-2023 08:30,TXN649,ACC14,22218.56,MerchantC,Withdrawal,London
01-01-2023 08:31,TXN664,ACC15,16837.42,MerchantH,Purchase,London
01-01-2023 08:32,TXN1137,ACC14,97178.49,MerchantD,Withdrawal,San Francisco
01-01-2023 08:33,TXN1411,ACC1,14817.21,MerchantH,Purchase,Los Angeles
01-01-2023 08:34,TXN113,ACC2,50272.88,MerchantF,Transfer,Tokyo
01-01-2023 08:35,TXN1760,ACC1,63438.79,MerchantB,Purchase,London
01-01-2023 08:36,TXN730,ACC6,24213.11,MerchantD,Transfer,Los Angeles
01-01-2023 08:37,TXN1208,ACC11,24223.57,MerchantF,Purchase,London
01-01-2023 08:38,TXN1634,ACC6,39888.46,MerchantA,Purchase,London
01-01-2023 08:39,TXN187,ACC6,69584.32,MerchantC,Transfer,London
01-01-2023 08:40,TXN403,ACC10,51214.18,MerchantC,Transfer,London
01-01-2023 08:41,TXN489,ACC1,39763.23,MerchantG,Withdrawal,New York
01-01-2023 08:42,TXN1803,ACC12,73524.26,MerchantB,Transfer,San Francisco
01-01-2023 08:43,TXN1635,ACC7,66001.8,MerchantJ,Purchase,London
01-01-2023 08:44,TXN1596,ACC1,24192.81,MerchantE,Purchase,Los Angeles
01-01-2023 08:45,TXN1015,ACC9,27894.35,MerchantC,Transfer,London
01-01-2023 08:46,TXN152,ACC6,77989.76,MerchantH,Transfer,New York
01-01-2023 08:47,TXN1992,ACC4,89856.43,MerchantD,Withdrawal,Los Angeles
01-01-2023 08:48,TXN1136,ACC14,94013.94,MerchantI,Purchase,San Francisco
01-01-2023 08:49,TXN1920,ACC14,54877.89,MerchantF,Transfer,Tokyo
01-01-2023 08:50,TXN1705,ACC4,71220.8,MerchantA,Withdrawal,Tokyo
01-01-2023 08:51,TXN816,ACC4,36653.21,MerchantH,Transfer,Los Angeles
01-01-2023 08:52,TXN401,ACC1,54258.6,MerchantC,Withdrawal,Tokyo
01-01-2023 08:53,TXN563,ACC6,90610.82,MerchantB,Purchase,New York
01-01-2023 08:54,TXN284,ACC15,49256.84,MerchantE,Purchase,Los Angeles
01-01-2023 08:55,TXN1540,ACC3,76857.72,MerchantA,Withdrawal,Tokyo
01-01-2023 08:56,TXN1070,ACC5,88350.57,MerchantI,Purchase,Tokyo
01-01-2023 08:57,TXN497,ACC14,96665.82,MerchantC,Purchase,London
01-01-2023 08:58,TXN191,ACC13,38515.92,MerchantG,Purchase,Los Angeles
01-01-2023 08:59,TXN128,ACC2,55684.56,MerchantF,Withdrawal,Los Angeles
01-01-2023 09:00,TXN1896,ACC14,9726.68,MerchantF,Transfer,San Francisco
01-01-2023 09:01,TXN1663,ACC11,29536.11,MerchantJ,Purchase,New York
01-01-2023 09:02,TXN1417,ACC11,70894.01,MerchantG,Purchase,San Francisco
01-01-2023 09:03,TXN759,ACC10,81013.24,MerchantI,Purchase,London
01-01-2023 09:04,TXN1530,ACC7,50156.61,MerchantD,Purchase,London
01-01-2023 09:05,TXN1907,ACC7,2771.4,MerchantB,Withdrawal,Los Angeles
01-01-2023 09:06,TXN1689,ACC10,54269.04,MerchantF,Withdrawal,San Francisco
01-01-2023 09:07,TXN1366,ACC1,3744.45,MerchantF,Transfer,Los Angeles
01-01-2023 09:08,TXN444,ACC5,52229.1,MerchantE,Purchase,London
01-01-2023 09:09,TXN774,ACC13,19446.06,MerchantC,Transfer,London
01-01-2023 09:10,TXN656,ACC13,96953.99,MerchantJ,Withdrawal,Los Angeles
01-01-2023 09:11,TXN657,ACC8,27090.52,MerchantJ,Transfer,San Francisco
01-01-2023 09:12,TXN741,ACC10,96265.21,MerchantG,Transfer,New York
01-01-2023 09:13,TXN1932,ACC5,5828.78,MerchantJ,Purchase,San Francisco
01-01-2023 09:14,TXN1120,ACC14,9396.39,MerchantI,Purchase,Tokyo
01-01-2023 09:15,TXN897,ACC13,73792.31,MerchantE,Withdrawal,Tokyo
01-01-2023 09:16,TXN247,ACC3,24780.62,MerchantC,Purchase,New York
01-01-2023 09:17,TXN1309,ACC14,9188.99,MerchantA,Withdrawal,London
01-01-2023 09:18,TXN453,ACC12,1725.94,MerchantJ,Purchase,London
01-01-2023 09:19,TXN1313,ACC14,43390.83,MerchantG,Withdrawal,San Francisco
01-01-2023 09:20,TXN1782,ACC5,88669.17,MerchantD,Transfer,San Francisco
01-01-2023 09:21,TXN762,ACC3,50318.59,MerchantA,Purchase,Tokyo
01-01-2023 09:22,TXN516,ACC8,94389.72,MerchantB,Purchase,London
01-01-2023 09:23,TXN896,ACC11,80096.92,MerchantB,Transfer,London
01-01-2023 09:24,TXN1569,ACC1,81122.31,MerchantE,Transfer,New York
01-01-2023 09:25,TXN1441,ACC8,90536.01,MerchantB,Purchase,Los Angeles
01-01-2023 09:26,TXN754,ACC3,33662.06,MerchantJ,Purchase,San Francisco
